Hour,Temperature,Precip_Chance,Feels_Like,Humidity,Wind_Speed,Dew_Point,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-28 00:00:00,40,0,40,82,0,35,0.0,2.0,2.0
2024-11-28 01:00:00,40,0,40,82,0,35,0.0,5.0,5.0
2024-11-28 02:00:00,39,0,39,83,0,35,0.0,3.0,3.0
2024-11-28 03:00:00,39,0,39,83,0,34,0.0,2.0,2.0
2024-11-28 04:00:00,39,0,39,84,0,34,0.0,2.0,2.0
2024-11-28 05:00:00,38,0,38,84,0,34,0.0,2.0,2.0
2024-11-28 06:00:00,38,0,38,85,0,34,0.0,3.0,3.0
2024-11-28 07:00:00,38,0,38,84,0,34,0.0,2.0,2.0
2024-11-28 08:00:00,38,0,38,84,0,34,0.0,2.0,2.0
2024-11-28 09:00:00,39,0,39,82,0,34,0.0,2.0,2.0
2024-11-28 10:00:00,40,0,40,79,0,34,0.0,3.0,3.0
2024-11-28 11:00:00,41,0,41,76,0,34,0.0,4.0,4.0
2024-11-28 12:00:00,41,0,41,73,0,34,0.0,3.0,3.0
2024-11-28 13:00:00,42,0,42,71,0,33,0.0,3.0,3.0
2024-11-28 14:00:00,42,0,42,70,0,33,0.0,3.0,3.0
2024-11-28 15:00:00,42,0,42,70,0,33,0.0,1.0,-1.0
2024-11-28 16:00:00,42,0,42,70,0,33,0.0,0.0,0.0
2024-11-28 17:00:00,42,0,42,72,0,34,0.0,1.0,1.0
2024-11-28 18:00:00,41,0,41,74,0,34,0.0,2.0,2.0
2024-11-28 19:00:00,41,0,41,75,0,34,0.0,4.0,4.0
2024-11-28 20:00:00,40,0,40,76,0,33,0.0,6.0,6.0
2024-11-28 21:00:00,40,0,40,77,0,33,0.0,7.0,7.0
2024-11-28 22:00:00,40,0,40,78,0,33,0.0,8.0,8.0
2024-11-28 23:00:00,39,0,39,79,0,33,0.0,5.0,5.0
2024-11-29 00:00:00,39,0,39,80,0,33,0.0,4.0,4.0
2024-11-29 01:00:00,38,0,38,81,0,33,0.0,3.0,3.0
2024-11-29 02:00:00,38,0,38,82,0,33,0.0,3.0,3.0
2024-11-29 03:00:00,38,0,38,83,0,33,0.0,3.0,3.0
2024-11-29 04:00:00,38,0,38,83,0,33,0.0,3.0,3.0
2024-11-29 05:00:00,38,0,38,82,0,33,0.0,2.0,2.0
2024-11-29 06:00:00,38,0,38,82,0,33,0.0,2.0,2.0
2024-11-29 07:00:00,38,0,38,82,0,33,0.0,2.0,2.0
2024-11-29 08:00:00,38,0,38,82,0,33,0.0,2.0,2.0
2024-11-29 09:00:00,39,0,39,80,0,33,0.0,2.0,2.0
2024-11-29 10:00:00,40,0,40,78,0,33,0.0,1.0,1.0
2024-11-29 11:00:00,40,0,40,76,0,33,0.0,0.0,0.0
2024-11-29 12:00:00,41,0,41,75,0,34,0.0,0.0,0.0
2024-11-29 13:00:00,42,0,42,73,0,34,0.0,1.0,1.0
2024-11-29 14:00:00,42,0,42,73,0,34,0.0,1.0,1.0
2024-11-29 15:00:00,42,0,42,73,0,34,0.0,0.0,0.0
2024-11-29 16:00:00,42,0,42,73,0,35,0.0,1.0,1.0
2024-11-29 17:00:00,42,0,42,74,0,35,0.0,3.0,3.0
2024-11-29 18:00:00,42,0,42,73,0,35,0.0,3.0,3.0
2024-11-29 19:00:00,42,0,42,74,0,34,0.0,3.0,3.0
2024-11-29 20:00:00,42,0,42,75,0,34,0.0,6.0,6.0
2024-11-29 21:00:00,41,0,41,76,0,34,0.0,5.0,5.0
2024-11-29 22:00:00,40,0,40,77,0,33,0.0,2.0,2.0
2024-11-29 23:00:00,40,0,40,78,0,33,0.0,3.0,3.0
